s,C,kg/m2/s,kW/m2,kW/m2,kW/m2,C,kW/m3,kW/m3,kW/m2
Time,"temp","burn","rad","gauge","con","gas","hrrpuv","qr","U"
 3.2407526E+001, 3.2420554E+002, 3.4050434E-004, 3.3352029E+000, 1.1770251E+001,-3.8672687E-001, 2.5280498E+002, 5.0646557E+002,-2.1303328E+002, 5.8355850E+001
 3.3015122E+001, 3.2462723E+002, 3.5674404E-004, 3.2994747E+000, 1.1754277E+001,-3.8908848E-001, 2.5319496E+002, 5.0385077E+002,-2.0950079E+002, 5.8323014E+001
 3.3622718E+001, 3.2462064E+002, 3.6889556E-004, 3.2441463E+000, 1.1695912E+001,-4.0944579E-001, 2.4999437E+002, 5.0325586E+002,-2.0563958E+002, 5.8038323E+001
 3.4230315E+001, 3.2361012E+002, 3.7089382E-004, 3.0963263E+000, 1.1481458E+001,-4.5076093E-001, 2.4370507E+002, 4.9008833E+002,-1.9343519E+002, 5.7206865E+001
 3.4837911E+001, 3.2239509E+002, 3.6185282E-004, 3.0037529E+000, 1.1309218E+001,-4.8484258E-001, 2.3808003E+002, 4.8137285E+002,-1.8223048E+002, 5.6463631E+001
 3.5405000E+001, 3.2192309E+002, 3.5224599E-004, 3.0164092E+000, 1.1292945E+001,-4.5427147E-001, 2.4160515E+002, 4.9313073E+002,-1.9373442E+002, 5.6391648E+001
 3.6012596E+001, 3.2263571E+002, 3.5584010E-004, 3.0854008E+000, 1.1409218E+001,-4.4327967E-001, 2.4375566E+002, 5.0080877E+002,-1.9310699E+002, 5.6891619E+001
 3.6620193E+001, 3.2313500E+002, 3.6397457E-004, 3.1264274E+000, 1.1480503E+001,-4.3510912E-001, 2.4545724E+002, 5.0953227E+002,-1.9849854E+002, 5.7221813E+001
 3.7227789E+001, 3.2501541E+002, 3.8082026E-004, 3.3300888E+000, 1.1798906E+001,-3.9236950E-001, 2.5304695E+002, 5.3806990E+002,-2.1796897E+002, 5.8518605E+001
 3.7835385E+001, 3.2718039E+002, 4.1470979E-004, 3.4398499E+000, 1.2038390E+001,-3.5609403E-001, 2.6030916E+002, 5.5771264E+002,-2.2606234E+002, 5.9582281E+001
 3.8402474E+001, 3.2866604E+002, 4.4903654E-004, 3.5013227E+000, 1.2187603E+001,-3.5109147E-001, 2.6239822E+002, 5.6966415E+002,-2.3367578E+002, 6.0205512E+001
 3.9010070E+001, 3.3032752E+002, 4.8355474E-004, 3.5937340E+000, 1.2376668E+001,-3.2436829E-001, 2.6780329E+002, 5.8478698E+002,-2.4257642E+002, 6.1041656E+001
 3.9617667E+001, 3.3128447E+002, 5.1820094E-004, 3.5980946E+000, 1.2443438E+001,-3.4518716E-001, 2.6578659E+002, 5.8859456E+002,-2.3914024E+002, 6.1351994E+001
 4.0225263E+001, 3.3132174E+002, 5.3851528E-004, 3.5324864E+000, 1.2378715E+001,-3.6231745E-001, 2.6345613E+002, 5.9030804E+002,-2.3293457E+002, 6.1103519E+001
 4.0832859E+001, 3.3135811E+002, 5.4730174E-004, 3.5266841E+000, 1.2368940E+001,-3.5424194E-001, 2.6478009E+002, 5.9809977E+002,-2.3828357E+002, 6.1098904E+001
 4.1440455E+001, 3.3269580E+002, 5.6692399E-004, 3.6769224E+000, 1.2600657E+001,-3.2803518E-001, 2.6970517E+002, 6.1540995E+002,-2.4890657E+002, 6.2074051E+001
 4.2007545E+001, 3.3382581E+002, 5.9689022E-004, 3.7312070E+000, 1.2724860E+001,-3.2169958E-001, 2.7180140E+002, 6.2834585E+002,-2.5180757E+002, 6.2665183E+001
 4.2615141E+001, 3.3514826E+002, 6.2704007E-004, 3.8416592E+000, 1.2909548E+001,-2.9342303E-001, 2.7729139E+002, 6.5076839E+002,-2.6351155E+002, 6.3505060E+001
 4.3222737E+001, 3.3715633E+002, 6.7036598E-004, 4.0166662E+000, 1.3207625E+001,-2.5667169E-001, 2.8548884E+002, 6.7896268E+002,-2.8130173E+002, 6.4729174E+001
 4.3830333E+001, 3.3978699E+002, 7.3337458E-004, 4.2176263E+000, 1.3609632E+001,-2.2488682E-001, 2.9338375E+002, 7.0776182E+002,-2.9401039E+002, 6.6056917E+001
 4.4404328E+001, 3.3903031E+002, 7.8969913E-004, 4.0448217E+000, 1.3384897E+001,-5.6894117E-001, 2.4739467E+002, 4.8923795E+002,-1.8895491E+002, 6.5487535E+001
